Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
H8AR03074,"MAHONY, JOSH",C,1,DEM,2660,0,2846.36,0,186.36,0,2660,0,0,0,0,0,0,AR,3,,,,,,0,0,4/30/2019,0,0
H0AR03055,"WOMACK, STEVE",I,2,REP,57756.3,0,75837.43,0,1159218.79,1141137.66,0,0,0,0,0,0,28475,AR,3,,,,,,29281.3,0,3/31/2019,0,0
H2AR03143,"HENDREN, JAMES PAUL",C,2,REP,0,0,0,0,93.06,93.06,0,0,0,0,0,450142.15,0,AR,3,,,,,,0,0,3/31/2019,0,0
H2AR04133,"HURST, Q. BYRUM JR",O,1,DEM,0,0,0,0,20.61,20.61,0,0,0,0,0,8982.22,0,AR,4,,,,,,0,0,3/31/2019,0,0
H8AR04130,"SHAMEL, HAYDEN CATHERINE",C,1,DEM,266.48,0,627.48,0,2197.18,1836.18,132.1,0,0,0,0,0,0,AR,4,,,,,,0,0,3/31/2019,0,0
H2AR04083,"COTTON, THOMAS",C,2,REP,935760.42,354493.16,203203.51,0,2099351.54,2831908.45,0,0,0,0,0,113889.55,367001.61,AR,4,,,,,,214250,0,3/31/2019,10200,1000
H4AR04048,"WESTERMAN, BRUCE",I,2,REP,130758.41,0,92658.88,0,671609.55,709709.08,0,0,0,0,0,0,69760,AR,4,,,,,,55750,0,3/31/2019,0,0
H4AS00036,"AMATA, AUMUA",I,2,REP,2700,0,2143.88,0,916.98,1473.1,0,0,0,0,0,0,2700,AS,0,,,,,,0,0,3/31/2019,0,0
H0AZ01358,"PUTZOVA, EVA",C,1,DEM,30973.55,0,10789.29,0,0,20184.26,524.44,0,0,0,0,0,30449.11,AZ,1,,,,,,0,0,3/31/2019,0,0
H6AZ01199,"O'HALLERAN, TOM",I,1,DEM,220998.48,0,40248.29,0,5931.95,186682.14,0,0,0,0,0,31260.74,103298.48,AZ,1,,,,,,113700,0,3/31/2019,100,0
H2AZ01172,"RENZI, RICHARD G.",I,2,REP,0,0,0,0,1244.79,1244.79,0,0,0,0,0,456157.37,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H2AZ09035,"ROGERS, WENDY",C,2,REP,34635,0,31713.67,0,1702.07,4623.4,0,0,0,1000,0,12759.21,34635,AZ,1,,,,,,0,0,3/31/2019,1150,0
H4AZ01145,"KIEHNE, GARY",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,250000,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H6AZ01173,"BENNETT, KEN",O,2,REP,0,0,0,0,3112.16,3112.16,0,0,0,0,0,70000,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H8AZ01211,"CAVANAUGH, KEVIN",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,380.73,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H8AZ01229,"SMITH, STEVE",C,2,REP,0,0,70,0,186.37,116.37,0,0,0,0,0,0,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H8AZ01237,"SHEDD, TIFFANY",C,2,REP,700,0,2475.9,0,3433.46,1657.56,0,700,0,0,0,295040.37,0,AZ,1,,,,,,0,0,3/31/2019,0,0
H8AZ01104,"KIRKPATRICK, ANN",I,1,DEM,277600,1107.63,137275.66,0,72191.25,212515.59,0,0,0,0,0,0,136816.37,AZ,2,,,,,,139000,0,3/31/2019,3175.5,166.67
H8AZ02136,"HEINZ, MATTHEW GERALD",O,1,DEM,0,0,0,0,500,500,0,0,0,0,0,311547.56,0,AZ,2,,,,,,0,0,3/31/2019,0,0
H8AZ02235,"YUKSEL, YAHYA",O,1,DEM,0,0,478.56,0,-1680.27,-2158.83,0,0,0,0,0,0,0,AZ,2,,,,,,0,0,2/5/2019,0,0
H0AZ02182,"MORGAN, JOSEPH DAVID",C,2,REP,5487,0,3149,0,0,2337,0,0,0,0,0,0,5487,AZ,2,,,,,,0,0,3/31/2019,0,0
H0AZ02190,"MARTIN, BRANDON RAY",C,2,REP,6131,0,791.81,0,0,5339.19,0,0,0,0,0,0,6131,AZ,2,,,,,,0,0,3/31/2019,0,0
H2AZ08102,"MCSALLY, MARTHA",I,2,REP,0,0,29355.32,0,66813.25,37457.93,0,0,0,0,0,0,0,AZ,2,,,,,,0,0,3/31/2019,0,0
H8AZ02185,"MARQUEZ PETERSON, LEA",O,2,REP,1000,0,1500,0,9214.28,8714.28,0,0,0,0,0,11312.51,0,AZ,2,,,,,,0,0,3/31/2019,500,0
H8AZ02201,"MARTIN, BRANDON RAY",O,2,REP,6131,0,791.81,0,0,5339.19,0,0,0,0,0,0,6131,AZ,2,,,,,,0,0,3/31/2019,0,0
H8AZ02227,"MORALES, DANIEL ROMERO JR",O,2,REP,0,0,79.3,0,79.3,0,0,0,0,0,0,0,0,AZ,2,,,,,,0,0,1/31/2019,0,0
H2AZ07070,"GRIJALVA, RAUL M",I,1,DEM,85703.61,0,38472.02,0,38155.74,85387.33,0,0,0,0,0,4015.59,62630.48,AZ,3,,,,,,22500,0,3/31/2019,50,0
H8AZ03142,"ARELLANO, SERGIO",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,2/1/2019,0,0
H8AZ04140,"BRILL, DAVID H",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,4,,,,,,0,0,3/31/2019,0,0
H8AZ04165,"DISANTO, DELINA",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,4,,,,,,0,0,3/31/2019,0,0
H0AZ01259,"GOSAR, PAUL DR.",I,2,REP,33141.79,0,32163.48,602,121199.58,122177.89,0,0,0,0,0,0,13635,AZ,4,,,,,,19500,0,3/31/2019,0,0
H2AZ04135,"GOULD, RON",C,2,REP,0,0,0,0,4473.28,4473.28,0,0,0,0,0,141741.2,0,AZ,4,,,,,,0,0,3/31/2019,0,0
H8AZ05154,"GREENE, JOAN",C,1,DEM,7424.74,0,6628.68,0,1837.41,2633.47,0,5696.74,0,0,0,152221.74,1728,AZ,5,,,,,,0,0,3/31/2019,0,0
H2AZ06148,"ADAMS, KIRK DAVID",O,2,REP,0,0,0,0,560.22,560.22,0,0,0,0,0,110206.46,0,AZ,5,,,,,,0,0,3/31/2019,0,0
H6AZ05083,"BIGGS, ANDY MR.",I,2,REP,104685,0,19252.78,0,285245.51,370677.73,0,0,0,0,0,131000,62095,AZ,5,,,,,,42590,0,3/31/2019,2500,0
H6AZ05091,"OLSON, JUSTIN",O,2,REP,0,0,0,0,703.23,703.23,0,0,0,0,0,100000,0,AZ,5,,,,,,0,0,3/31/2019,0,0
H6AZ05125,"JONES, CHRISTINE",O,2,REP,247225.35,0,250000,0,2774.65,0,247225.35,0,0,250000,0,0,0,AZ,5,,,,,,0,0,3/31/2019,0,0
H8AZ06103,"MALIK, ANITA",C,1,DEM,945,0,829.87,0,6195.48,6310.61,0,0,0,0,0,0,0,AZ,6,,,,,,0,0,3/31/2019,0,0
H8AZ08083,"TIPIRNENI, HIRAL VYAS",C,1,DEM,8.23,0,14002.51,0,100601.74,86607.46,0,0,0,0,0,70000,0,AZ,6,,,,,,0,0,3/31/2019,683.5,0
H0AZ01184,"FLAKE, JEFF MR.",C,2,REP,0,0,8153.55,0,1121967.48,1113813.93,0,0,0,0,0,0,0,AZ,6,,,,,,0,0,3/31/2019,0,0
H4AZ06045,"SCHWEIKERT, DAVID S.",I,2,REP,248578.56,80653.56,52246.93,0,44232.49,240564.12,0,0,0,0,0,251614.1,100425,AZ,6,,,,,,67500,0,3/31/2019,0,0
H2AZ02055,"PASTOR, ED L",C,1,DEM,0,0,1480.47,0,97406.64,97406.64,0,0,0,0,0,0,0,AZ,7,,,,,,0,0,9/30/2019,0,0
H4AZ07043,"GALLEGO, RUBEN",I,1,DEM,399299.93,0,241037.4,0,459177.86,617440.39,0,0,0,0,0,0,157508.68,AZ,7,,,,,,240000,0,3/31/2019,5600,0
H8AZ08232,"MUSSELWHITE, ROBERT RICHARD",C,1,DEM,9,0,309,0,407,106,0,0,0,0,0,0,9,AZ,8,,,,,,0,0,3/31/2019,0,0
H6AZ03112,"STUMP, BOB",O,2,REP,0,0,0,0,13484.68,13484.68,0,0,0,0,0,0,0,AZ,8,,,,,,0,0,3/31/2019,0,0
H8AZ08158,"LESKO, DEBBIE",I,2,REP,170183.86,71528.56,34280.28,0,70840.67,206744.25,0,0,0,0,0,0,60324.15,AZ,8,,,,,,36000,0,3/31/2019,0,0
H2AZ09019,"SINEMA, KYRSTEN",I,1,DEM,438806.75,1151.3,154893.79,0,171526.59,455439.55,0,0,0,0,0,0,281699.53,AZ,9,,,,,,150200,0,3/31/2019,11183.5,0
H2AZ09027,"SCHAPIRA, DAVID",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,1464.07,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H8AZ09040,"STANTON, GREG",I,1,DEM,155680.77,0,56825.88,0,44385.39,143240.28,0,0,0,0,0,0,92463.68,AZ,9,,,,,,53000,0,3/31/2019,666,0
H8AZ09065,"ARAUJO, HECTOR MR.",O,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H0AZ03321,"PARKER, VERNON",C,2,REP,0,0,0,0,4619.9,4619.9,0,0,0,0,0,15813.62,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H2AZ06155,"GRANTHAM, TRAVIS W.",O,2,REP,0,0,45,0,-6271.01,-6316.01,0,0,0,0,0,304411.5,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H4AZ09023,"WALTER, ANDREW",C,2,REP,0,0,0,0,0,2000,0,0,0,0,0,0,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H6AZ09010,"GILES, DAVID VICTOR",C,2,REP,20634.27,0,20597.32,0,0,36.95,0,20264.27,0,0,0,436334.96,370,AZ,9,,,,,,0,0,3/31/2019,0,0
H6AZ09036,"AGRA, JOHN",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,10000,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H8AZ09016,"BARONESS VON BEHR, IRINA",O,2,REP,0,0,0,0,52.31,52.31,0,0,0,0,0,19623.99,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H8AZ09032,"LEIBSOHN, SETH MR.",O,2,REP,0.28,0,120,0,11211.8,11092.08,0,0,0,0,0,0,0,AZ,9,,,,,,0,0,3/31/2019,0,0
H8CA01257,"DENNEY, AUDREY L",C,1,DEM,253567.99,0,30024.45,0,492.49,224036.03,0,0,0,0,0,0,247825.27,CA,1,,,,,,500,0,3/31/2019,1300,0
H2CA02142,"LAMALFA, DOUG",I,2,REP,87121.08,71528.47,23486.46,0,28130.95,91765.57,0,0,0,0,0,7561.98,3100,CA,1,,,,,,12000,0,3/31/2019,0,0
H2CA06259,"HUFFMAN, JARED",I,1,DEM,73209.71,0,84769.68,0,820776.44,809216.47,0,0,0,0,0,1301.5,54886.59,CA,2,,,,,,16800,0,3/31/2019,0,0
H4CA02098,"MENSING, DALE KENNETH",C,2,REP,0,0,118,0,1637,1519,0,0,0,0,0,0,0,CA,2,,,,,,0,0,3/31/2019,0,0
H0CA10149,"GARAMENDI, JOHN",I,1,DEM,121105.77,0,99327.38,0,724376.4,746154.79,0,0,0,0,0,0,24951.27,CA,3,,,,,,63700,0,3/31/2019,0,0
H4CA03096,"LOGUE, DANIEL",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,8645.6,0,CA,3,,,,,,0,0,3/31/2019,0,0
H6CA03067,"SCHAUPP, CHARLES EUGENE",C,2,REP,389.28,0,0,0,6752.56,7141.84,0,0,0,0,0,0,0,CA,3,,,,,,0,0,3/31/2019,0,0
H0CA04167,"FRAME, SEAN COLIN",C,1,DEM,30149,0,12506.65,0,1932.38,19574.73,0,0,0,0,0,1250,30149,CA,4,,,,,,0,0,3/31/2019,0,0
H8CA04210,"MORSE, JESSICA",C,1,DEM,2480,0,-4780.95,0,102177.16,109438.11,0,0,0,0,0,0,0,CA,4,,,,,,0,0,3/31/2019,0,0
H0CA04183,"BENZEL, JULIANNE ELIZABETH MRS.",C,2,REP,14011.54,0,4947.7,0,623.1,9686.94,224.99,0,0,0,0,3000,13786.55,CA,4,,,,,,0,0,3/31/2019,0,0
H8CA04152,"MCCLINTOCK, THOMAS",I,2,REP,217072.33,80340.72,96131.76,0,224826.27,345766.84,0,0,0,0,0,0,124391.15,CA,4,,,,,,5000,0,3/31/2019,0,0
H8CA01109,"THOMPSON, MIKE MR.",I,1,DEM,228050.09,0,376809.95,0,1560786.18,1412026.32,0,0,0,0,0,25545.85,70879.12,CA,5,,,,,,154550,0,3/31/2019,45,0
H6CA05195,"MATSUI, DORIS",I,1,DEM,127313.61,0,92844.94,0,323335.18,357803.85,0,0,0,0,0,0,70277.61,CA,6,,,,,,57000,0,3/31/2019,0,0
H0CA03078,"BERA, AMERISH",I,1,DEM,271734.62,0,133444.42,0,1324713.43,1463003.63,0,0,0,0,0,272800,144234.62,CA,7,,,,,,127500,0,3/31/2019,5420,5000
H0CA11352,"EMKEN, ELIZABETH",C,2,REP,0,0,0,0,365.71,365.71,0,0,0,0,0,32000,0,CA,7,,,,,,0,0,3/31/2019,0,0
H4CA07055,"BIRMAN, IGOR A",C,2,REP,58,0,58,0,128.82,128.82,0,58,0,0,0,85022.75,0,CA,7,,,,,,0,0,3/31/2019,0,0
H8CA07056,"GRANT, ANDREW",C,2,REP,75.54,0,2683,0,16172.85,13565.39,0,0,0,0,0,2958.07,0,CA,7,,,,,,0,0,3/31/2019,0,0
H8CA08112,"DOYLE, MARGE",C,1,DEM,10,0,5126,0,34597.45,29481.45,0,0,0,0,0,1420.96,10,CA,8,,,,,,0,0,3/31/2019,0,0
H2CA08164,"COOK, PAUL",I,2,REP,89741,0,22269.99,0,140257.11,207728.12,0,0,0,0,0,0,21741,CA,8,,,,,,68000,0,3/31/2019,0,0
H4CA08111,"CONOVER, RODNEY LEE",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,5750,0,CA,8,,,,,,0,0,3/31/2019,0,0
H8CA08120,"DONNELLY, TIMOTHY M.",C,2,REP,100,0,889.5,0,826.91,37.41,0,0,0,0,0,31955.3,100,CA,8,,,,,,0,0,3/31/2019,0,0
H4CA11081,"MCNERNEY, GERALD MARK",I,1,DEM,120300.88,0,69474.47,0,168757.82,219584.23,0,0,0,0,0,2954.15,91170,CA,9,,,,,,29090,0,3/31/2019,0,0
H8CA09144,"LIVENGOOD, MARLA",C,2,REP,1000,0,4750,0,3750,0,0,0,0,0,0,0,1000,CA,9,,,,,,0,0,3/31/2019,0,0
H2CA00096,"BARKLEY, MICHAEL JAMES MR.",C,1,DEM,0,0,0,0,2819.86,2819.86,0,0,0,0,0,46147.31,0,CA,10,,,,,,0,0,3/31/2019,0,0
H4CA10075,"EGGMAN, MICHAEL RAY",C,1,DEM,12.61,0,4298.39,0,4285.78,0,0,0,0,0,0,0,0,CA,10,,,,,,0,0,1/29/2019,0,0
H8CA10126,"HARDER, JOSH",I,1,DEM,873884.34,0,103872.18,0,20240.66,790252.82,0,0,0,0,0,0,726884.04,CA,10,,,,,,144000,0,3/31/2019,4421.15,1000
H8CA10175,"MADUENO, VIRGINIA",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,10,,,,,,0,0,1/17/2019,0,0
H0CA19173,"DENHAM, JEFF",C,2,REP,7924.09,5317.7,19930.8,940.7,306567.07,294560.36,0,0,0,0,0,0,2600,CA,10,,,,,,0,0,3/31/2019,100,0
H8CA10209,"HOWZE, TED D II",C,2,REP,31335,0,20723.9,0,309570.65,320181.75,0,0,0,0,0,273233.67,31335,CA,10,,,,,,0,0,3/31/2019,0,0
H0CA10073,"DESAULNIER, MARK",I,1,DEM,53739,0,36082.42,0,311530.46,329187.04,0,0,0,0,0,0,25739,CA,11,,,,,,28000,0,3/31/2019,0,0
H8CA11090,"LYTTON, ALVA",C,1,DEM,0,0,0,0,2667.06,2667.06,0,0,0,0,0,4820.77,0,CA,11,,,,,,0,0,3/31/2019,0,0
H0CA12111,"BACELAR, AGATHA",C,1,DEM,9317.7,0,0,0,0,9317.7,0,5805,72.9,0,0,21877.9,3439.8,CA,12,,,,,,0,0,3/31/2019,0,0
H8CA05035,"PELOSI, NANCY",I,1,DEM,1329266.09,676100,879913.69,0,1004817.82,1454170.22,0,0,0,0,0,0,407801.07,CA,12,,,,,,241891.13,0,3/31/2019,1485.2,0
H8CA12239,"JAFFE, STEPHEN R",C,1,DEM,287,0,260.48,0,137.7,164.22,0,0,0,0,0,33843.27,0,CA,12,,,,,,287,0,3/31/2019,0,0
H8CA12262,"BUTTAR, SHAHID",C,1,DEM,18859.19,0,12825.28,0,8.07,6041.98,0,2800,0,0,0,7237.05,15857,CA,12,,,,,,0,0,3/31/2019,0,0
H0CA08069,"DENNIS, JOHN",C,2,REP,100,0,0,0,0,100,0,0,0,0,0,0,0,CA,12,,,,,,100,0,3/31/2019,0,0
H8CA09060,"LEE, BARBARA",I,1,DEM,137821.46,0,133361.7,0,132303.44,136763.2,0,0,0,0,0,4401.75,86240.33,CA,13,,,,,,46500,0,3/31/2019,0,0
H8CA12171,"SPEIER, JACKIE",I,1,DEM,116750.21,0,197524.02,0,1756436.46,1675662.65,0,0,0,0,0,6356.7,104213.89,CA,14,,,,,,10500,0,3/31/2019,0,0
H0CA15171,"SIMITIAN, S JOSEPH",,1,DEM,499.63,0,562.09,0,444494.79,444432.33,0,0,0,0,0,0,0,CA,15,,,,,,0,0,3/31/2019,0,0
H2CA15094,"SWALWELL, ERIC MICHAEL",I,1,DEM,1122681.13,0,1149914.98,700000,1672993.9,1645760.05,0,0,0,0,0,0,928840.97,CA,15,,,,,,189650,0,3/31/2019,6600,2000
H4CA20082,"COSTA, JIM",I,1,DEM,106134.78,0,95225.61,0,109890.31,120799.48,0,0,0,0,0,3940.44,49800,CA,16,,,,,,53809.6,0,3/31/2019,250,0
H2CA16100,"TACHERRA, JOHNNY",C,2,REP,0,0,45.94,0,45.94,0,0,0,0,45.94,0,58772.54,0,CA,16,,,,,,0,0,3/31/2019,0,0
H8CA16065,"HENG, ELIZABETH",C,3,UNK,14917.25,0,20000,0,6384.44,1301.69,0,0,0,0,0,15000,500,CA,16,,,,,,0,0,3/31/2019,0,0
H0CA15148,"HONDA, MIKE",I,1,DEM,0,0,3481.35,0,22358.15,18876.8,0,0,0,0,0,113781.73,0,CA,17,,,,,,0,0,3/31/2019,0,0
H4CA12055,"KHANNA, ROHIT",I,1,DEM,642013.94,0,255042.72,0,878603.52,1265574.74,0,0,0,0,0,89348.3,640488.61,CA,17,,,,,,0,0,3/31/2019,14487.5,0
H0CA18068,"KUMAR, RISHI",C,1,DEM,94578,0,4458.18,0,0,90119.82,0,0,0,0,0,0,94578,CA,18,,,,,,0,0,3/31/2019,0,0
H8CA12098,"ESHOO, ANNA G",I,1,DEM,182407.15,0,149791.26,0,497047.57,529663.46,0,0,0,0,0,2764.73,90753,CA,18,,,,,,91640,0,3/31/2019,0,0
H4CA16049,"LOFGREN, ZOE",I,1,DEM,274021.89,101400.04,157692.48,0,1136681.8,1253011.21,0,0,0,0,0,46716.6,78263,CA,19,,,,,,71750,0,3/31/2019,0,0
H8CA19051,"AGUILERA, JUSTIN",C,2,REP,0,0,3474.94,0,3870.7,395.76,0,0,0,0,0,0,0,CA,19,,,,,,0,0,3/31/2019,0,0
H6CA20152,"PANETTA, JIMMY",I,1,DEM,167126,0,199926.44,0,758133.68,725333.24,0,0,0,0,0,0,68126,CA,20,,,,,,99000,0,3/31/2019,0,0
H6CA21176,"HAZE, ERNEST STEVEN",C,1,DEM,0,0,45,0,5819.65,5774.65,0,0,0,0,0,154460,0,CA,20,,,,,,0,0,3/31/2019,0,0
H6CA21218,"HUERTA, EMILIO J. MR.",C,1,DEM,14.18,0,1200,0,56683.56,55497.74,0,0,0,0,0,0,0,CA,21,,,,,,0,0,3/31/2019,0,0
H8CA10167,"COX, TERRANCE JOHN (TJ)",I,1,DEM,306431.45,0,58315.61,0,54791.11,302906.95,0,0,0,0,0,238500,174260.9,CA,21,,,,,,131000,0,3/31/2019,657.64,0
H2CA20094,"VALADAO, DAVID",I,2,REP,5826.53,5695.53,14160.38,0,78918.09,70584.24,0,0,0,0,0,0,2,CA,21,,,,,,0,0,3/31/2019,0,0
H2CA22140,"LEE, OTTO",C,1,DEM,0,0,0,0,25297,25297,0,0,0,0,0,25297,0,CA,22,,,,,,0,0,3/31/2019,0,0
H8CA22139,"JANZ, ANDREW",C,1,DEM,21373.72,145.78,21513.45,0,22047.31,21907.58,0,0,0,0,0,0,0,CA,22,,,,,,0,0,3/31/2019,5063.5,0
H8CA22147,"FRANCO, RICARDO JOSE",C,1,DEM,0,0,391.23,0,2115.71,1724.48,0,0,0,0,0,24874.81,0,CA,22,,,,,,0,0,3/31/2019,0,0
H8CA20059,"NUNES, DEVIN G.",I,2,REP,1216815.46,101818.6,539550.08,25000,4238627.49,4915892.87,0,0,0,0,0,0,995146.33,CA,22,,,,,,119000,0,3/31/2019,0,0
H8CA23103,"MATTA, TATIANA",C,1,DEM,0,0,2791.52,0,9679.28,6887.76,0,0,0,0,0,0,0,CA,23,,,,,,0,0,3/31/2019,0,0
H8CA23111,"WILSON, KURTIS",C,1,DEM,0,0,0,0,200.96,200.96,0,0,0,0,0,3212.73,0,CA,23,,,,,,0,0,3/31/2019,0,0
H8CA23129,"BARRO, MARY",C,1,DEM,0,0,0,0,70.57,70.57,0,0,0,0,0,4975.48,0,CA,23,,,,,,0,0,3/31/2019,0,0
H6CA22125,"MCCARTHY, KEVIN",I,2,REP,2246884.23,1664476.93,688984.81,1596.49,1287072.18,2844971.6,0,0,0,0,0,10000,261775.08,CA,23,,,,,,314500,0,3/31/2019,2318,0
H6CA24303,"CARBAJAL, SALUD O.",I,1,DEM,447530.52,0,94375.56,0,734490.35,1087645.31,0,0,0,0,0,0,406265.63,CA,24,,,,,,41000,0,3/31/2019,8100,0
H4CA24142,"FAREED, JUSTIN",C,2,REP,0,0,742,0,3847.18,3105.18,0,0,0,0,0,38354.24,0,CA,24,,,,,,0,0,3/31/2019,700,0
